CVE,Module,Type,Rank,Has_Check,Has_Vulhub,Success_Probability,Platform
CVE-1978-1234,exploits/example_linux_persistence,exploits,Excellent,True,False,0.99,linux
CVE-1999-1011,exploits/windows/iis/msadc,exploits,Excellent,True,False,0.99,win
CVE-2000-0402,exploits/windows/mssql/mssql_payload,exploits,Excellent,True,False,0.99,win
CVE-2000-1209,exploits/windows/mssql/mssql_payload,exploits,Excellent,True,False,0.99,win
CVE-2001-0311,exploits/multi/misc/openview_omniback_exec,exploits,Excellent,True,False,0.99,unix
CVE-2001-0333,exploits/windows/iis/ms01_026_dbldecode,exploits,Excellent,True,False,0.99,win
CVE-2001-0800,exploits/irix/lpd/tagprinter_exec,exploits,Excellent,True,False,0.99,
CVE-2003-0722,exploits/solaris/sunrpc/sadmind_exec,exploits,Excellent,True,False,0.99,
CVE-2004-1037,exploits/unix/webapp/twiki_search,exploits,Excellent,True,False,0.99,unix
CVE-2004-1389,exploits/multi/misc/veritas_netbackup_cmdexec,exploits,Excellent,True,False,0.99,
CVE-2004-2687,exploits/unix/misc/distcc_exec,exploits,Excellent,True,False,0.99,unix
CVE-2005-0116,exploits/unix/webapp/awstats_configdir_exec,exploits,Excellent,True,False,0.99,unix
CVE-2005-0511,exploits/unix/webapp/php_vbulletin_template,exploits,Excellent,True,False,0.99,unix
CVE-2005-1921,exploits/unix/webapp/php_xmlrpc_eval,exploits,Excellent,True,False,0.99,unix
CVE-2005-2733,exploits/unix/webapp/sphpblog_file_upload,exploits,Excellent,True,False,0.99,php
CVE-2005-2847,exploits/unix/webapp/barracuda_img_exec,exploits,Excellent,True,False,0.99,unix
CVE-2005-2877,exploits/unix/webapp/twiki_history,exploits,Excellent,True,False,0.99,unix
CVE-2005-3757,exploits/unix/webapp/google_proxystylesheet_exec,exploits,Excellent,True,False,0.99,unix
CVE-2006-0848,exploits/osx/browser/safari_metadata_archive,exploits,Excellent,True,False,0.99,unix
CVE-2006-2237,exploits/unix/webapp/awstats_migrate_exec,exploits,Excellent,True,False,0.99,unix
CVE-2006-4602,exploits/unix/webapp/tikiwiki_jhot_exec,exploits,Excellent,True,False,0.99,unix
CVE-2006-4842,exploits/solaris/local/libnspr_nspr_log_file_priv_esc,exploits,Excellent,True,False,0.99,solaris
CVE-2006-5650,exploits/windows/browser/aol_icq_downloadagent,exploits,Excellent,True,False,0.99,win
CVE-2007-1036,exploits/multi/http/jboss_invoke_deploy,exploits,Excellent,True,False,0.99,java
CVE-2007-2699,exploits/windows/http/oats_weblogic_console,exploits,Excellent,True,False,0.99,java
CVE-2007-2987,exploits/windows/browser/zenturiprogramchecker_unsafe,exploits,Excellent,True,False,0.99,win
CVE-2007-3280,exploits/linux/postgres/postgres_payload,exploits,Excellent,True,False,0.99,linux
CVE-2007-5423,exploits/unix/webapp/tikiwiki_graph_formula_exec,exploits,Excellent,True,False,0.99,php
CVE-2007-5660,exploits/windows/browser/macrovision_unsafe,exploits,Excellent,True,False,0.99,win
CVE-2008-0506,exploits/unix/webapp/coppermine_piceditor,exploits,Excellent,True,False,0.99,unix
CVE-2008-2463,exploits/windows/browser/ms08_041_snapshotviewer,exploits,Excellent,True,False,0.99,win
CVE-2008-2551,exploits/windows/browser/c6_messenger_downloaderactivex,exploits,Excellent,True,False,0.99,win
CVE-2008-2683,exploits/windows/browser/blackice_downloadimagefileurl,exploits,Excellent,True,False,0.99,win
CVE-2008-3922,exploits/unix/webapp/awstatstotals_multisort,exploits,Excellent,True,False,0.99,unix
CVE-2008-4037,exploits/windows/smb/smb_relay,exploits,Excellent,True,False,0.99,win
CVE-2008-4385,exploits/windows/browser/systemrequirementslab_unsafe,exploits,Excellent,True,False,0.99,win
CVE-2008-4388,exploits/windows/browser/symantec_appstream_unsafe,exploits,Excellent,True,False,0.99,win
CVE-2008-4687,exploits/multi/http/mantisbt_manage_proj_page_rce,exploits,Excellent,True,False,0.99,php
CVE-2008-4830,exploits/windows/browser/enjoysapgui_comp_download,exploits,Excellent,True,False,0.99,win
CVE-2008-5002,exploits/windows/browser/chilkat_crypt_writefile,exploits,Excellent,True,False,0.99,win
CVE-2008-5191,exploits/unix/webapp/seportal_sqli_exec,exploits,Excellent,True,False,0.99,php
CVE-2008-5416,exploits/windows/mssql/ms09_004_sp_replwritetovarbin_sqli,exploits,Excellent,True,False,0.99,win
CVE-2008-6132,exploits/multi/http/phpscheduleit_start_date,exploits,Excellent,True,False,0.99,php
CVE-2008-6508,exploits/multi/http/openfire_auth_bypass,exploits,Excellent,True,True,0.99,java
CVE-2009-0545,exploits/unix/webapp/zeroshell_exec,exploits,Excellent,True,False,0.99,linux
CVE-2009-0880,exploits/windows/misc/ibm_director_cim_dllinject,exploits,Excellent,True,False,0.99,win
CVE-2009-20010,exploits/unix/webapp/dogfood_spell_exec,exploits,Excellent,True,False,0.99,unix
CVE-2009-20011,exploits/unix/http/contentkeeperweb_mimencode,exploits,Excellent,True,False,0.99,unix
CVE-2009-3028,exploits/windows/browser/symantec_altirisdeployment_downloadandinstall,exploits,Excellent,True,False,0.99,win
CVE-2009-3548,exploits/multi/http/tomcat_mgr_deploy,exploits,Excellent,True,False,0.99,java
CVE-2009-3548,exploits/multi/http/tomcat_mgr_upload,exploits,Excellent,True,False,0.99,java
CVE-2009-3843,exploits/multi/http/tomcat_mgr_deploy,exploits,Excellent,True,False,0.99,java
CVE-2009-3843,exploits/multi/http/tomcat_mgr_upload,exploits,Excellent,True,False,0.99,java
CVE-2009-4098,exploits/unix/webapp/openx_banner_edit,exploits,Excellent,True,False,0.99,php
CVE-2009-4140,exploits/unix/webapp/openemr_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2009-4146,exploits/freebsd/local/rtld_execl_priv_esc,exploits,Excellent,True,False,0.99,bsd
CVE-2009-4147,exploits/freebsd/local/rtld_execl_priv_esc,exploits,Excellent,True,False,0.99,bsd
CVE-2009-4188,exploits/multi/http/tomcat_mgr_deploy,exploits,Excellent,True,False,0.99,java
CVE-2009-4188,exploits/multi/http/tomcat_mgr_upload,exploits,Excellent,True,False,0.99,java
CVE-2009-4189,exploits/multi/http/tomcat_mgr_deploy,exploits,Excellent,True,False,0.99,java
CVE-2009-4189,exploits/multi/http/tomcat_mgr_upload,exploits,Excellent,True,False,0.99,java
CVE-2009-4498,exploits/linux/misc/zabbix_server_exec,exploits,Excellent,True,False,0.99,unix
CVE-2010-0557,exploits/multi/http/tomcat_mgr_deploy,exploits,Excellent,True,False,0.99,java
CVE-2010-0557,exploits/multi/http/tomcat_mgr_upload,exploits,Excellent,True,False,0.99,java
CVE-2010-10013,exploits/multi/http/ajaxplorer_checkinstall_exec,exploits,Excellent,True,False,0.99,
CVE-2010-2620,exploits/windows/ftp/open_ftpd_wbem,exploits,Excellent,True,False,0.99,win
CVE-2010-3338,exploits/windows/local/ms10_092_schelevator,exploits,Excellent,True,False,0.99,win
CVE-2010-3585,exploits/unix/webapp/oracle_vm_agent_utl,exploits,Excellent,True,False,0.99,
CVE-2010-3600,exploits/windows/oracle/client_system_analyzer_upload,exploits,Excellent,True,False,0.99,win
CVE-2010-3847,exploits/linux/local/glibc_ld_audit_dso_load_priv_esc,exploits,Excellent,True,False,0.99,linux
CVE-2010-3847,exploits/linux/local/glibc_origin_expansion_priv_esc,exploits,Excellent,True,False,0.99,linux
CVE-2010-3856,exploits/linux/local/glibc_ld_audit_dso_load_priv_esc,exploits,Excellent,True,False,0.99,linux
CVE-2010-3964,exploits/windows/misc/ms10_104_sharepoint,exploits,Excellent,True,False,0.99,win
CVE-2010-4094,exploits/multi/http/tomcat_mgr_deploy,exploits,Excellent,True,False,0.99,java
CVE-2010-4094,exploits/multi/http/tomcat_mgr_upload,exploits,Excellent,True,False,0.99,java
CVE-2010-4170,exploits/linux/local/systemtap_modprobe_options_priv_esc,exploits,Excellent,True,False,0.99,linux
CVE-2010-4279,exploits/multi/http/pandora_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2010-4417,exploits/windows/http/oracle_beehive_evaluation,exploits,Excellent,True,False,0.99,win
CVE-2010-4566,exploits/unix/webapp/citrix_access_gateway_exec,exploits,Excellent,True,False,0.99,unix
CVE-2011-0518,exploits/multi/http/lcms_php_exec,exploits,Excellent,True,False,0.99,php
CVE-2011-0922,exploits/windows/misc/hp_dataprotector_install_service,exploits,Excellent,True,False,0.99,win
CVE-2011-10010,exploits/windows/ftp/quickshare_traversal_write,exploits,Excellent,True,False,0.99,win
CVE-2011-10011,exploits/linux/http/webid_converter,exploits,Excellent,True,False,0.99,php
CVE-2011-10013,exploits/multi/http/traq_plugin_exec,exploits,Excellent,True,False,0.99,php
CVE-2011-10018,exploits/unix/webapp/mybb_backdoor,exploits,Excellent,True,False,0.99,php
CVE-2011-1774,exploits/windows/browser/safari_xslt_output,exploits,Excellent,True,False,0.99,win
CVE-2011-2921,exploits/linux/local/ktsuss_suid_priv_esc,exploits,Excellent,True,False,0.99,linux
CVE-2011-3587,exploits/multi/http/plone_popen2,exploits,Excellent,True,False,0.99,
CVE-2011-3829,exploits/multi/http/sit_file_upload,exploits,Excellent,True,False,0.99,php
CVE-2011-3833,exploits/multi/http/sit_file_upload,exploits,Excellent,True,False,0.99,php
CVE-2011-3923,exploits/multi/http/struts_code_exec_parameters,exploits,Excellent,True,False,0.99,win
CVE-2011-4051,exploits/windows/scada/indusoft_webstudio_exec,exploits,Excellent,True,False,0.99,win
CVE-2011-4075,exploits/multi/http/phpldapadmin_query_engine,exploits,Excellent,True,False,0.99,php
CVE-2011-4166,exploits/windows/http/hp_mpa_job_acct,exploits,Excellent,True,False,0.99,win
CVE-2011-4451,exploits/multi/http/wikka_spam_exec,exploits,Excellent,True,False,0.99,php
CVE-2011-4453,exploits/multi/http/pmwiki_pagelist,exploits,Excellent,True,False,0.99,php
CVE-2011-4542,exploits/unix/webapp/hastymail_exec,exploits,Excellent,True,False,0.99,unix
CVE-2011-4642,exploits/multi/http/splunk_mappy_exec,exploits,Excellent,True,False,0.99,
CVE-2011-4825,exploits/multi/http/log1cms_ajax_create_folder,exploits,Excellent,True,False,0.99,php
CVE-2011-4828,exploits/linux/http/vcms_upload,exploits,Excellent,True,False,0.99,php
CVE-2011-4908,exploits/unix/webapp/joomla_tinybrowser,exploits,Excellent,True,False,0.99,php
CVE-2011-5130,exploits/multi/http/familycms_less_exec,exploits,Excellent,True,False,0.99,
CVE-2012-0261,exploits/multi/http/op5_license,exploits,Excellent,True,False,0.99,unix
CVE-2012-0262,exploits/multi/http/op5_welcome,exploits,Excellent,True,False,0.99,
CVE-2012-0297,exploits/linux/http/symantec_web_gateway_exec,exploits,Excellent,True,False,0.99,unix
CVE-2012-0297,exploits/linux/http/symantec_web_gateway_lfi,exploits,Excellent,True,False,0.99,php
CVE-2012-0299,exploits/linux/http/symantec_web_gateway_file_upload,exploits,Excellent,True,False,0.99,php
CVE-2012-0394,exploits/multi/http/struts_dev_mode,exploits,Excellent,True,False,0.99,java
CVE-2012-0938,exploits/multi/http/testlink_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2012-10019,exploits/unix/webapp/wp_frontend_editor_file_upload,exploits,Excellent,True,False,0.99,php
CVE-2012-10020,exploits/unix/webapp/wp_foxypress_upload,exploits,Excellent,True,False,0.99,php
CVE-2012-10025,exploits/unix/webapp/wp_advanced_custom_fields_exec,exploits,Excellent,True,False,0.99,php
CVE-2012-10026,exploits/unix/webapp/wp_asset_manager_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2012-10027,exploits/unix/webapp/wp_property_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2012-10029,exploits/unix/webapp/nagios_graph_explorer,exploits,Excellent,True,False,0.99,unix
CVE-2012-10030,exploits/windows/ftp/freefloatftp_wbem,exploits,Excellent,True,False,0.99,win
CVE-2012-10033,exploits/unix/webapp/narcissus_backend_exec,exploits,Excellent,True,False,0.99,
CVE-2012-10036,exploits/unix/webapp/projectpier_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2012-10037,exploits/multi/http/phptax_exec,exploits,Excellent,True,False,0.99,
CVE-2012-10038,exploits/multi/http/auxilium_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2012-10039,exploits/linux/http/zen_load_balancer_exec,exploits,Excellent,True,False,0.99,unix
CVE-2012-10040,exploits/linux/http/openfiler_networkcard_exec,exploits,Excellent,True,False,0.99,unix
CVE-2012-10041,exploits/linux/http/wanem_exec,exploits,Excellent,True,False,0.99,unix
CVE-2012-10042,exploits/multi/http/sflog_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2012-10044,exploits/multi/http/mobilecartly_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2012-10045,exploits/unix/webapp/xoda_file_upload,exploits,Excellent,True,False,0.99,php
CVE-2012-10046,exploits/linux/http/esva_exec,exploits,Excellent,True,False,0.99,unix
CVE-2012-10047,exploits/windows/http/cyclope_ess_sqli,exploits,Excellent,True,False,0.99,win
CVE-2012-10049,exploits/multi/http/webpagetest_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2012-10050,exploits/multi/http/cuteflow_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2012-10052,exploits/unix/webapp/egallery_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2012-10059,exploits/linux/http/dolibarr_cmd_exec,exploits,Excellent,True,False,0.99,
CVE-2012-1153,exploits/multi/http/apprain_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2012-1495,exploits/linux/http/webcalendar_settings_exec,exploits,Excellent,True,False,0.99,
CVE-2012-1823,exploits/multi/http/php_cgi_arg_injection,exploits,Excellent,True,True,0.99,php
CVE-2012-2953,exploits/linux/http/symantec_web_gateway_pbcontrol,exploits,Excellent,True,False,0.99,unix
CVE-2012-2962,exploits/windows/http/sonicwall_scrutinizer_sqli,exploits,Excellent,True,False,0.99,php
CVE-2012-2982,exploits/unix/webapp/webmin_show_cgi_exec,exploits,Excellent,True,False,0.99,unix
CVE-2012-3001,exploits/multi/http/mutiny_subnetmask_exec,exploits,Excellent,True,False,0.99,unix
CVE-2012-3399,exploits/unix/webapp/basilic_diff_exec,exploits,Excellent,True,False,0.99,
CVE-2012-3485,exploits/osx/local/setuid_tunnelblick,exploits,Excellent,True,False,0.99,osx
CVE-2012-3951,exploits/windows/mysql/scrutinizer_upload_exec,exploits,Excellent,True,False,0.99,win
CVE-2012-4284,exploits/osx/local/setuid_viscosity,exploits,Excellent,True,False,0.99,osx
CVE-2012-5223,exploits/multi/http/vbseo_proc_deutf,exploits,Excellent,True,False,0.99,php
CVE-2012-5357,exploits/windows/http/ektron_xslt_exec,exploits,Excellent,True,False,0.99,win
CVE-2012-5613,exploits/windows/mysql/mysql_mof,exploits,Excellent,True,False,0.99,win
CVE-2012-5613,exploits/windows/mysql/mysql_start_up,exploits,Excellent,True,False,0.99,win
CVE-2012-5692,exploits/unix/webapp/invision_pboard_unserialize_exec,exploits,Excellent,True,False,0.99,php
CVE-2012-5932,exploits/windows/novell/netiq_pum_eval,exploits,Excellent,True,False,0.99,win
CVE-2012-5975,exploits/unix/ssh/tectia_passwd_changereq,exploits,Excellent,True,False,0.99,unix
CVE-2012-6066,exploits/windows/ssh/freesshd_authbypass,exploits,Excellent,True,False,0.99,win
CVE-2012-6329,exploits/unix/webapp/twiki_maketext,exploits,Excellent,True,False,0.99,unix
CVE-2012-6330,exploits/unix/webapp/foswiki_maketext,exploits,Excellent,True,False,0.99,unix
CVE-2012-6554,exploits/multi/http/activecollab_chat,exploits,Excellent,True,False,0.99,php
CVE-2012-6710,exploits/multi/http/extplorer_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2013-0136,exploits/linux/http/mutiny_frontend_upload,exploits,Excellent,True,False,0.99,linux
CVE-2013-0156,exploits/multi/http/rails_secret_deserialization,exploits,Excellent,True,False,0.99,ruby
CVE-2013-0209,exploits/multi/http/movabletype_upgrade_exec,exploits,Excellent,True,False,0.99,"win, unix"
CVE-2013-0232,exploits/unix/webapp/zoneminder_packagecontrol_exec,exploits,Excellent,True,False,0.99,unix
CVE-2013-0803,exploits/multi/http/polarcms_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2013-0928,exploits/windows/emc/alphastor_device_manager_exec,exploits,Excellent,True,False,0.99,win
CVE-2013-10032,exploits/unix/webapp/get_simple_cms_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2013-10034,exploits/windows/http/kaseya_uploadimage_file_upload,exploits,Excellent,True,False,0.99,win
CVE-2013-10035,exploits/multi/http/processmaker_exec,exploits,Excellent,True,False,0.99,php
