"name","path"
"CVE-2024-39907","1panel/CVE-2024-39907"
"CVE-2015-5254","activemq/CVE-2015-5254"
"CVE-2016-3088","activemq/CVE-2016-3088"
"CVE-2022-41678","activemq/CVE-2022-41678"
"CVE-2023-46604","activemq/CVE-2023-46604"
"CVE-2021-21311","adminer/CVE-2021-21311"
"CVE-2021-43008","adminer/CVE-2021-43008"
"CVE-2020-11978","airflow/CVE-2020-11978"
"CVE-2020-11981","airflow/CVE-2020-11981"
"CVE-2020-17526","airflow/CVE-2020-17526"
"CVE-2024-28752","apache-cxf/CVE-2024-28752"
"CVE-2021-25646","apache-druid/CVE-2021-25646"
"CVE-2020-13945","apisix/CVE-2020-13945"
"CVE-2021-45232","apisix/CVE-2021-45232"
"CVE-2018-8715","appweb/CVE-2018-8715"
"CVE-2014-6271","bash/CVE-2014-6271"
"CVE-2022-46169","cacti/CVE-2022-46169"
"CVE-2023-39361","cacti/CVE-2023-39361"
"CVE-2025-24367","cacti/CVE-2025-24367"
"CVE-2016-5385","cgi/CVE-2016-5385"
"CVE-2019-9053","cmsms/CVE-2019-9053"
"CVE-2021-26120","cmsms/CVE-2021-26120"
"CVE-2010-2861","coldfusion/CVE-2010-2861"
"CVE-2017-3066","coldfusion/CVE-2017-3066"
"CVE-2023-26360","coldfusion/CVE-2023-26360"
"CVE-2023-29300","coldfusion/CVE-2023-29300"
"CVE-2019-3396","confluence/CVE-2019-3396"
"CVE-2021-26084","confluence/CVE-2021-26084"
"CVE-2022-26134","confluence/CVE-2022-26134"
"CVE-2023-22515","confluence/CVE-2023-22515"
"CVE-2023-22527","confluence/CVE-2023-22527"
"CVE-2017-12635","couchdb/CVE-2017-12635"
"CVE-2017-12636","couchdb/CVE-2017-12636"
"CVE-2022-24706","couchdb/CVE-2022-24706"
"CVE-2023-41892","craftcms/CVE-2023-41892"
"CVE-2024-56145","craftcms/CVE-2024-56145"
"CVE-2024-47177","cups-browsed/CVE-2024-47177"
"CVE-2017-12794","django/CVE-2017-12794"
"CVE-2018-14574","django/CVE-2018-14574"
"CVE-2019-14234","django/CVE-2019-14234"
"CVE-2020-9402","django/CVE-2020-9402"
"CVE-2021-35042","django/CVE-2021-35042"
"CVE-2022-34265","django/CVE-2022-34265"
"CVE-2014-3704","drupal/CVE-2014-3704"
"CVE-2017-6920","drupal/CVE-2017-6920"
"CVE-2018-7600","drupal/CVE-2018-7600"
"CVE-2018-7602","drupal/CVE-2018-7602"
"CVE-2019-6339","drupal/CVE-2019-6339"
"CVE-2019-6341","drupal/CVE-2019-6341"
"CVE-2019-17564","dubbo/CVE-2019-17564"
"CVE-2014-3120","elasticsearch/CVE-2014-3120"
"CVE-2015-1427","elasticsearch/CVE-2015-1427"
"CVE-2015-3337","elasticsearch/CVE-2015-3337"
"CVE-2015-5531","elasticsearch/CVE-2015-5531"
"CVE-2018-1000006","electron/CVE-2018-1000006"
"CVE-2018-15685","electron/CVE-2018-15685"
"CVE-2021-32682","elfinder/CVE-2021-32682"
"CVE-2025-32433","erlang/CVE-2025-32433"
"CVE-2016-1897","ffmpeg/CVE-2016-1897"
"CVE-2017-9993","ffmpeg/CVE-2017-9993"
"CVE-2020-17518","flink/CVE-2020-17518"
"CVE-2020-17519","flink/CVE-2020-17519"
"CVE-2021-40822","geoserver/CVE-2021-40822"
"CVE-2022-24816","geoserver/CVE-2022-24816"
"CVE-2023-25157","geoserver/CVE-2023-25157"
"CVE-2024-36401","geoserver/CVE-2024-36401"
"CVE-2018-16509","ghostscript/CVE-2018-16509"
"CVE-2018-19475","ghostscript/CVE-2018-19475"
"CVE-2019-6116","ghostscript/CVE-2019-6116"
